,idPlateFieldData,SampleName,SiteName,DeployFieldTrip,DateDeploy,DateRemove,DateReplace,DateCollect,CollectFieldTrip,Note
151,151,G173,Trinity,46.0,2011-02-22 10:20:00,2011-03-28 09:52:00,2011-03-29 00:33:00,2011-04-25 09:30:00,49.0,
152,152,G174,Station 2,46.0,2011-02-22 09:47:00,2011-03-28 09:58:00,2011-03-29 11:49:00,2011-04-25 10:01:00,49.0,
153,153,G175,Flatman,46.0,2011-02-22 10:05:00,2011-03-28 10:30:00,2011-03-29 00:51:00,2011-04-25 10:14:00,49.0,
154,154,G171,Stumpy,47.0,2011-03-29 11:01:00,,,2011-04-25 09:22:00,49.0,
155,155,G158,Robin,48.0,2011-04-06 13:36:00,,,2011-08-05 14:48:00,55.0,
156,156,G172,Chrome Dome,48.0,2011-04-06 13:21:00,,,2011-08-05 14:41:00,55.0,
157,157,G177,Snowman,48.0,2011-04-06 13:32:00,,,2011-08-05 14:45:00,55.0,
158,158,G182,Flatman,49.0,2011-04-26 09:46:00,2011-05-23 09:02:00,2011-05-24 09:56:00,2011-06-20 09:55:00,53.0,
159,159,G185,Station 2,49.0,2011-04-26 09:14:00,2011-05-23 09:16:00,2011-05-24 09:34:00,2011-06-20 10:18:00,53.0,
160,160,G187,Stumpys Brother,49.0,2011-04-26 09:10:00,2011-05-23 09:06:00,2011-05-24 09:49:00,2011-06-20 09:58:00,53.0,
161,161,G188,Station 1,49.0,2011-04-26 09:15:00,2011-05-23 09:17:00,2011-05-24 09:38:00,2011-06-20 10:26:00,53.0,
162,162,G189,Stumpy,49.0,2011-04-26 09:10:00,2011-05-23 09:05:00,2011-05-24 09:48:00,2011-06-20 09:56:00,53.0,
163,163,G190,Trinity,49.0,2011-04-26 10:22:00,2011-05-23 09:27:00,2011-05-24 10:15:00,2011-06-20 10:14:00,53.0,
164,164,G191,Amidala,49.0,2011-04-26 09:11:00,2011-05-23 09:10:00,2011-05-24 09:50:00,2011-06-20 10:05:00,53.0,
165,165,G168,Trinity,53.0,2011-06-21 10:53:00,2011-07-18 10:50:00,2011-07-19 10:52:00,2011-08-29 10:49:00,56.0,
166,166,G176,Amidala,53.0,2011-06-21 09:57:00,2011-07-18 10:08:00,2011-07-19 09:24:00,2011-08-29 09:56:00,56.0,
167,167,G178,Station 1,53.0,2011-06-21 10:15:00,2011-07-18 10:17:00,2011-07-19 09:32:00,2011-08-29 10:19:00,56.0,
168,168,G179,Station 2,53.0,2011-06-21 10:17:00,2011-07-18 10:24:00,2011-07-19 09:33:00,2011-08-29 10:09:00,56.0,
169,169,G181,Stumpy,53.0,2011-06-21 09:56:00,2011-07-18 09:58:00,2011-07-19 09:21:00,2011-08-29 09:51:00,56.0,
170,170,G183,Stumpys Brother,53.0,2011-06-21 09:54:00,2011-07-18 10:00:00,2011-07-19 09:23:00,2011-08-29 09:54:00,56.0,
171,171,G184,Flatman,53.0,2011-06-21 09:33:00,2011-07-18 10:38:00,2011-07-19 09:57:00,2011-08-29 10:38:00,56.0,
172,172,G208,Robin,55.0,2011-08-05 14:50:00,,,2011-10-24 13:43:00,59.0,
173,173,G196,Chrome Dome,55.0,2011-08-05 14:42:00,,,2011-10-24 13:40:00,59.0,
174,174,G209,Snowman,55.0,2011-08-05 14:47:00,,,2011-10-24 13:53:00,59.0,
175,175,G186,Flatman,56.0,2011-08-30 11:40:00,2011-09-26 09:44:00,2011-09-27 08:54:00,2011-10-24 10:21:00,59.0,
176,176,G207,Trinity,56.0,2011-08-30 10:52:00,2011-09-26 09:54:00,2011-09-27 09:15:00,2011-10-24 10:31:00,59.0,
177,177,G194,Stumpy,56.0,2011-08-30 11:19:00,2011-09-26 09:19:00,2011-09-27 08:33:00,2011-10-24 10:05:00,59.0,
178,178,G198,Stumpys Brother,56.0,2011-08-30 11:20:00,2011-09-26 09:19:00,2011-09-27 08:33:00,2011-10-24 10:06:00,59.0,
179,179,G206,Station 2,56.0,2011-08-30 11:33:00,2011-09-26 09:31:00,2011-09-27 10:10:00,2011-10-24 09:45:00,59.0,
180,180,G210,Amidala,56.0,2011-08-30 11:27:00,2011-09-26 09:20:00,2011-09-27 08:34:00,2011-10-24 10:06:00,59.0,
181,181,G202,Station 1,56.0,2011-08-30 11:32:00,2011-09-26 09:30:00,2011-09-27 08:33:00,2011-10-24 09:57:00,59.0,
182,182,G192,Chrome Dome,59.0,2011-10-24 13:59:00,,,2012-01-23 13:03:00,63.0,
183,183,G203,Snowman,59.0,2011-10-24 13:45:00,,,2012-01-23 13:40:00,63.0,
184,184,G205,Robin,59.0,2011-10-24 13:54:00,,,2012-01-23 13:29:00,63.0,
185,185,G180,Trinity,59.0,2011-10-25 10:54:00,2011-11-21 11:17:00,2011-11-22 10:47:00,2011-12-19 11:01:00,61.0,
186,186,G204,Station 1,59.0,2011-10-25 09:45:00,2011-11-21 10:36:00,2011-11-22 09:10:00,2011-12-19 10:40:00,61.0,
187,187,G201,Station 2,59.0,2011-10-25 09:54:00,2011-11-21 10:32:00,2011-11-22 11:18:00,2011-12-19 10:42:00,61.0,
188,188,G193,Amidala,59.0,2011-10-25 09:29:00,2011-11-21 10:17:00,2011-11-22 09:26:00,2011-12-19 10:24:00,61.0,
189,189,G200,Stumpy,59.0,2011-10-25 09:24:00,2011-11-21 11:44:00,2011-11-22 09:25:00,2011-12-19 10:22:00,61.0,
190,190,G195,Flatman,59.0,2011-10-25 08:59:00,2011-11-21 11:03:00,2011-11-22 10:26:00,2011-12-19 10:04:00,61.0,
191,191,G199,Stumpys Brother,59.0,2011-10-25 09:28:00,2011-11-21 10:15:00,2011-11-22 09:25:00,2011-12-19 10:22:00,61.0,
192,192,1192,Amidala,61.0,2011-12-20 09:32:00,2012-01-23 09:46:00,2012-01-24 09:27:00,2012-02-27 10:15:00,64.0,
193,193,1190,Stumpy,61.0,2011-12-20 09:29:00,2012-01-23 09:44:00,2012-01-24 09:26:00,2012-02-27 10:19:00,64.0,
194,194,1186,Flatman,61.0,2011-12-20 10:19:00,2012-01-23 10:06:00,2012-01-24 09:56:00,2012-02-27 10:44:00,64.0,
195,195,1219,Station 2,61.0,2011-12-20 09:52:00,2012-01-23 09:42:00,2012-01-24 09:32:00,2012-02-27 09:48:00,64.0,
196,196,1213,Station 1,61.0,2011-12-20 09:53:00,2012-01-23 09:53:00,2012-01-24 09:28:00,2012-02-27 09:50:00,64.0,
197,197,1214,Stumpys Brother,61.0,2011-12-20 09:31:00,2012-01-23 09:45:00,2012-01-24 09:27:00,2012-02-27 10:17:00,64.0,
198,198,1212,Trinity,61.0,2011-12-20 10:51:00,2012-01-23 10:15:00,2012-01-24 10:59:00,2012-02-27 10:54:00,64.0,
199,199,1187,Chrome Dome,63.0,2012-01-23 13:03:00,,,2012-04-23 13:36:00,67.0,
200,200,1220,Snowman,63.0,2012-01-23 13:40:00,,,2012-04-23 13:45:00,67.0,
201,201,1222,Robin,63.0,2012-01-23 13:32:00,,,2012-04-23 13:52:00,67.0,
202,202,G197,Stumpy,64.0,2012-02-28 10:00:00,2012-03-26 09:48:00,2012-03-27 10:12:00,2012-04-23 09:38:00,67.0,
203,203,1194,Amidala,64.0,2012-02-28 10:02:00,2012-03-26 09:50:00,2012-03-27 10:15:00,2012-04-23 09:56:00,67.0,
204,204,1191,Station 2,64.0,2012-02-28 12:56:00,2012-03-26 10:06:00,2012-03-27 23:00:00,2012-04-23 10:12:00,67.0,
205,205,1188,Trinity,64.0,2012-02-28 12:17:00,2012-03-26 10:46:00,2012-03-27 12:30:00,2012-04-23 10:55:00,67.0,
206,206,1221,Station 1,64.0,2012-02-28 10:14:00,2012-03-26 10:04:00,2012-03-27 11:11:00,2012-04-23 10:15:00,67.0,
207,207,1217,Stumpys Brother,64.0,2012-02-28 10:01:00,2012-03-26 09:49:00,2012-03-27 10:14:00,2012-04-23 09:49:00,67.0,
208,208,G213,Flatman,64.0,2012-02-28 10:35:00,2012-03-26 10:33:00,2012-03-27 09:56:00,2012-04-23 10:41:00,67.0,
209,209,G219,Robin,67.0,2012-04-23 13:52:00,,,2012-08-03 13:58:00,71.0,
210,210,G218,Snowman,67.0,2012-04-23 13:45:00,,,2012-08-03 14:04:00,71.0,
211,211,G227,Chrome Dome,67.0,2012-04-23 13:36:00,,,2012-08-03 13:48:00,71.0,
212,212,G221,Station 2,67.0,2012-04-24 09:58:00,2012-05-21 09:41:00,2012-05-22 09:37:00,2012-06-28 10:20:00,69.0,
213,213,G212,Station 1,67.0,2012-04-24 09:56:00,2012-05-21 09:43:00,2012-05-22 09:50:00,2012-06-28 10:25:00,69.0,
214,214,G214,Stumpy,67.0,2012-04-24 09:43:00,2012-05-21 10:07:00,2012-05-22 09:34:00,2012-06-28 09:56:00,69.0,
215,215,G217,Flatman,67.0,2012-04-24 09:24:00,2012-05-22 10:35:00,2012-05-22 10:00:00,2012-06-28 10:47:00,69.0,
216,216,G236,Stumpys Brother,67.0,2012-04-24 09:44:00,2012-05-22 10:04:00,2012-05-22 09:35:00,2012-06-28 10:00:00,69.0,
217,217,G241,Amidala,67.0,2012-04-24 09:44:00,2012-05-21 10:13:00,2012-05-22 09:36:00,2012-06-28 10:06:00,69.0,
218,218,G232,Trinity,67.0,2012-04-24 11:42:00,2012-05-22 10:51:00,2012-05-22 11:34:00,2012-06-28 11:03:00,69.0,
219,219,G225,Stumpy,69.0,2012-06-29 09:44:00,2012-08-02 10:26:00,2012-08-03 09:45:00,2012-08-27 10:15:00,72.0,
